5.00E+03	-0.831113276
6.03E+03	-0.774542281
7.28E+03	-0.717510568
8.79E+03	-0.701825975
1.06E+04	-0.680515458
1.28E+04	-0.6664576
1.54E+04	-0.655721142
1.86E+04	-0.662228457
2.25E+04	-0.654043116
2.71E+04	-0.63482344
3.27E+04	-0.610794358
3.95E+04	-0.586603471
4.76E+04	-0.619062761
5.75E+04	-0.68934456
6.94E+04	-0.782255102
8.37E+04	-0.862693445
1.01E+05	-0.951711579
1.22E+05	-1.12191698
1.47E+05	-1.340277642
1.77E+05	-1.635040871
2.14E+05	-2.035338524
2.58E+05	-2.534754482
3.12E+05	-3.158772696
3.76E+05	-3.866867369
4.54E+05	-4.616645318
5.48E+05	-5.37780907
6.61E+05	-6.257035065
7.98E+05	-7.120686891
9.62E+05	-7.979439287
1.16E+06	-9.141818424
1.40E+06	-10.17823821
1.69E+06	-11.75499015
2.04E+06	-13.38745728
2.46E+06	-15.44328364
2.97E+06	-17.8238718
3.58E+06	-20.23340556
4.33E+06	-22.7446566
5.22E+06	-26.73034269
6.30E+06	-30.19999651
7.60E+06	-34.13002101
9.17E+06	-37.94058051
1.11E+07	-41.22866096
1.34E+07	-44.44019655
1.61E+07	-47.14712921
1.94E+07	-49.52669577
2.35E+07	-51.57879999
2.83E+07	-53.06321807
3.42E+07	-54.381987
4.12E+07	-55.91494779
4.97E+07	-56.53044405
6.00E+07	-58.5147497
