5.00E+03	-0.970039419
6.03E+03	-0.942780958
7.28E+03	-0.897343465
8.79E+03	-0.975900483
1.06E+04	-0.917550592
1.28E+04	-0.942265515
1.54E+04	-0.888048543
1.86E+04	-0.872977745
2.25E+04	-0.837785869
2.71E+04	-0.747896332
3.27E+04	-0.657198555
3.95E+04	-0.658572437
4.76E+04	-0.74254738
5.75E+04	-0.944464733
6.94E+04	-1.114366965
8.37E+04	-1.277401629
1.01E+05	-1.45231373
1.22E+05	-1.732968448
1.47E+05	-2.027133899
1.77E+05	-2.390751783
2.14E+05	-2.930438582
2.58E+05	-3.544560996
3.12E+05	-4.331486617
3.76E+05	-5.210388198
4.54E+05	-6.148393689
5.48E+05	-7.148439028
6.61E+05	-8.282508991
7.98E+05	-9.431086263
9.62E+05	-10.63784346
1.16E+06	-12.20624033
1.40E+06	-13.70257652
1.69E+06	-15.75103666
2.04E+06	-17.96405302
2.46E+06	-20.68690945
2.97E+06	-23.77138486
3.58E+06	-26.9995151
4.33E+06	-30.31032301
5.22E+06	-35.22797633
6.30E+06	-39.51363445
7.60E+06	-43.98755995
9.17E+06	-48.0451213
1.11E+07	-51.78132058
1.34E+07	-55.27638449
1.61E+07	-58.6238866
1.94E+07	-61.15913411
2.35E+07	-63.4307616
2.83E+07	-64.68455487
3.42E+07	-65.86334494
4.12E+07	-67.05863772
4.97E+07	-66.39604982
6.00E+07	-67.74951752
