5.00E+03	-0.91435869
6.03E+03	-0.84225321
7.28E+03	-0.817847809
8.79E+03	-0.777316394
1.06E+04	-0.783787971
1.28E+04	-0.787914466
1.54E+04	-0.754352927
1.86E+04	-0.746660511
2.25E+04	-0.732320904
2.71E+04	-0.709809856
3.27E+04	-0.617711356
3.95E+04	-0.629527482
4.76E+04	-0.704404379
5.75E+04	-0.823224192
6.94E+04	-0.961101507
8.37E+04	-1.063010088
1.01E+05	-1.19895301
1.22E+05	-1.418833056
1.47E+05	-1.679613437
1.77E+05	-2.009819806
2.14E+05	-2.47783684
2.58E+05	-3.043317056
3.12E+05	-3.750700681
3.76E+05	-4.549518838
4.54E+05	-5.413273032
5.48E+05	-6.272016553
6.61E+05	-7.311185652
7.98E+05	-8.316770754
9.62E+05	-9.348204263
1.16E+06	-10.74320935
1.40E+06	-12.01193066
1.69E+06	-13.85012055
2.04E+06	-15.78334695
2.46E+06	-18.18887408
2.97E+06	-20.94674732
3.58E+06	-23.79003189
4.33E+06	-26.72677462
5.22E+06	-31.17761002
6.30E+06	-35.07369281
7.60E+06	-39.20825658
9.17E+06	-43.09066884
1.11E+07	-46.68922782
1.34E+07	-49.98601794
1.61E+07	-52.86945811
1.94E+07	-55.28347663
2.35E+07	-57.55250935
2.83E+07	-58.7907045
3.42E+07	-60.26815326
4.12E+07	-61.3229078
4.97E+07	-61.24134349
6.00E+07	-62.84725962
