5000	-2.1161	-0.086677	247.65
6010	-2.1397	-0.10418	247.65
7230	-2.3942	-0.12532	247.64
8690	-1.9839	-0.15061	247.64
10500	-1.8701	-0.18196	247.64
12600	-1.8321	-0.2183	247.63
15100	-1.6745	-0.26154	247.62
18200	-1.6633	-0.3151	247.61
21800	-1.373	-0.3772	247.59
26200	-1.0659	-0.45294	247.56
31600	-0.57803	-0.54559	247.51
45600	-0.57033	-0.78381	247.36
54800	-0.79316	-0.9384	247.24
65900	-1.1046	-1.1224	247.06
79200	-1.3426	-1.3386	246.81
95300	-1.7156	-1.5932	246.45
1.15e+05	-1.8571	-1.8926	245.95
1.38e+05	-2.2164	-2.2238	245.28
1.66e+05	-2.45	-2.5982	244.38
1.99e+05	-2.705	-2.9983	243.24
2.39e+05	-2.9731	-3.4257	241.79
2.88e+05	-3.2794	-3.8718	240.03
3.46e+05	-3.5795	-4.3087	238.03
4.16e+05	-3.9211	-4.7371	235.83
5e+05	-4.1585	-5.1539	233.52
6.01e+05	-4.5403	-5.5697	231.17
7.23e+05	-5.0502	-6.0055	228.84
8.69e+05	-5.429	-6.4834	226.55
1.05e+06	-5.9169	-7.0533	224.24
1.26e+06	-6.8676	-7.711	222
1.51e+06	-7.7487	-8.5028	219.68
1.82e+06	-8.8919	-9.5001	217.07
2.18e+06	-10.424	-10.672	214.2
2.62e+06	-12.286	-12.108	210.73
3.16e+06	-14.217	-13.855	206.38
3.79e+06	-16.264	-15.844	201.15
4.56e+06	-18.33	-18.178	194.56
5.48e+06	-21.955	-20.807	186.54
6.59e+06	-25.034	-23.746	176.92
7.92e+06	-28.221	-26.961	165.75
9.53e+06	-30.125	-30.48	153.03
1.15e+07	-33.393	-34.35	138.74
1.38e+07	-37.638	-38.405	123.72
1.66e+07	-42.169	-42.819	107.57
1.99e+07	-47.521	-47.419	91.178
2.39e+07	-52.425	-52.247	74.66
2.88e+07	-57.006	-57.198	58.698
3.46e+07	-61.786	-61.902	44.675
4.16e+07	-66.494	-66.243	32.912
5e+07	-71.042	-70.004	23.75
